id,tweet,lat,long,party,region,cluster
"8,39E+22",De #julianabrug in #zaandam #zaandijk ging open om 16:59 en zal 4 minuten open zijn. Zie https://t.co/zCqSr3mrjr #brugopen,52.471.471,4.813.427,7,2,3.00E+00
"8,39E+22",#Software ontwikkeling Solution Designer - Voor onze klant in regio Amsterdam zoeken wij een Solution designer. W... https://t.co/rxCxDD8cG2,5.237.403,488.969,8,4,0.00E+00
"8,39E+22",File op A1 Langzaam rijdend tot stilstaand verkeer #A1 #A1_TQG #file #fileleed #verkeer https://t.co/x8nxNAyDp0,5.230.582,514.455,11,13,9.00E+00
"8,39E+22",De #julianabrug in #zaandam #zaandijk is weer dicht. Zie https://t.co/zCqSr3mrjr #brugopen,52.471.471,4.813.427,2,13,4.00E+00
"8,39E+22",Wilks in Amsterdam #modelbehavior @ Amsterdam Netherlands https://t.co/7zfiQ7yEQ8,523.731,4.8922,3,11,1.00E+00
"8,39E+22",#Informatie analyse Business Analyst - Voor onze klant in regio Amsterdam zoeken wij een Business Analyst voor re... https://t.co/EiiiBCLoO9,5.237.403,488.969,4,1,3.00E+00
"8,39E+22",File op A15 Stilstaand verkeer #A15 #A15_PSG #file #fileleed #verkeer https://t.co/TXyD1ChMY5,5.185.757,465.783,6,2,3.00E+00
"8,39E+22",A1 13105 Rit 28132 Amsterdam Bertrand Russellstraat 1097HL 50 https://t.co/iU7vbJ7KF3 #p2000,523.475.919,49.210.324,7,2,3.00E+00
"8,39E+22",#Egaylity - Syrische kinderen plegen zelfmoord om aan gruwel te ontsnappen - Ongeveer vijf à zes maanden geleden… https://t.co/kWUejjfgCy,5.237.722.611,489.824.219,8,4,0.00E+00
"8,39E+22",#Egaylity - Ouderen leven langer zijn gezonder en rijker - De cijfers vanochtend bekend gemaakt door het… https://t.co/UCJ0MFPohl,5.237.722.611,489.824.219,9,4,0.00E+00
"8,39E+22",NL | Homo in Beauty &amp; the Beast maakt Rusland boos - De regisseur maakte dit weekend namelijk bekend dat het… https://t.co/ebNvqbALzI,5.239.398.971,488.725.586,10,4,0.00E+00
"8,39E+22",NL | GGZ Nederland: Zorg bezwijkt onder regeldruk - Vinkjes zetten totdat je arm pijn doet: de regeldruk in de… https://t.co/VMdxVJUIYr,5.239.398.971,488.725.586,11,7,1.20E+01
"8,39E+22",NL | Hoeveel eiwitten heb je dagelijks nodig? - Eiwitten zijn samengesteld uit bouwstenen. Die worden aminozuren… https://t.co/ANF0Bj0IBb,5.239.398.971,488.725.586,3,7,6.00E+00
"8,39E+22",#Egaylity - Syrische kinderen plegen zelfmoord om aan gruwel te ontsnappen - Ongeveer vijf à zes maanden geleden… https://t.co/XlToAoudsT,5.244.168.021,490.868.926,4,2,0.00E+00
"8,39E+22",#Egaylity - Ouderen leven langer zijn gezonder en rijker - De cijfers vanochtend bekend gemaakt door het… https://t.co/Cxl0C9ivSe,5.244.168.021,490.868.926,5,2,0.00E+00
"8,39E+22",#Egaylity - Syrische kinderen plegen zelfmoord om aan gruwel te ontsnappen - Ongeveer vijf à zes maanden geleden… https://t.co/yFweg0415o,5.237.722.611,489.824.219,6,0,1.30E+01
"8,39E+22",#Egaylity - Ouderen leven langer zijn gezonder en rijker - De cijfers vanochtend bekend gemaakt door het… https://t.co/veJnnxFK4V,5.237.722.611,489.824.219,7,0,1.30E+01
"8,39E+22",File op N233 Stilstaand verkeer #N233 #N233_RHE #file #fileleed #verkeer https://t.co/aWu7wPHh34,5.197.676,557.487,10,11,1.00E+01
"8,39E+22",File op A1 Langzaam rijdend tot stilstaand verkeer #A1 #A1_RZQ #file #fileleed #verkeer https://t.co/FlgerqEaDN,5.230.566,513.865,11,0,1.30E+01
"8,39E+22",File op A1 Stilstaand verkeer #A1 #A1_HOE #file #fileleed #verkeer https://t.co/fkDr7wL0lf,521.759,542.819,12,4,3.00E+00
"8,39E+22",Mooi zending binnen uit Haarlem van brouwerij #jopen en #brouwerijhetuiltje :M’n Opa M’n Opa … https://t.co/iG6vqaJynL,5.250.040.534,476.728.163,5,11,6.00E+00
"8,39E+22",Mooi zending binnen uit Haarlem van brouwerij #jopen en #brouwerijhetuiltje :M’n Opa M’n Opa … https://t.co/R1W26IBvTF,5.250.040.534,476.728.163,3,0,1.30E+01
"8,39E+22",File op A28 Stilstaand verkeer #A28 #A28_GHM #file #fileleed #verkeer https://t.co/XYq1Gr83T8,5.210.513,525.303,4,1,3.00E+00
"8,39E+22",File op A50 Stilstaand verkeer #A50 #A50_EIN #file #fileleed #verkeer https://t.co/8EwwHmIzU5,5.150.938,547.085,5,4,7.00E+00
"8,39E+22",File op N210 Stilstaand verkeer #N210 #N210_RPP #file #fileleed #verkeer https://t.co/uTrXwVjalp,5.191.469,454.161,6,13,6.00E+00
"8,39E+22",@raymondvk ja ik wel maar de rp maakt maar even verbinding en dan valt ie uit 😔🤔,5.239.070.042,486.743.789,7,4,0.00E+00
"8,39E+22",Ingecheckt voor de vlucht naar Kopenhagen morgen en moet je zien welke stoel ik kreeg… https://t.co/GVvMYCU3k6,523.731,4.8922,8,18,6.00E+00
"8,39E+22",AMSTERDAM: De burgernetactie nav de overval op de Jan van Galenstraat wordt bij deze afgesloten. De politie heef https://t.co/hBBO0Lgkwm,5.237.496.934,486.188.518,11,0,1.30E+01
"8,39E+21",File op A59 Stilstaand verkeer #A59 #A59_MKJ #file #fileleed #verkeer https://t.co/R1EOCrPAni,5.173.876,5.5193,4,0,1.30E+01
"8,39E+21",File op N256 Stilstaand verkeer #N256 #N256_COL #file #fileleed #verkeer https://t.co/BKBXdlRWPO,5.159.676,387.027,5,0,1.30E+01
"8,39E+21",File op A50 Langzaam rijdend tot stilstaand verkeer #A50 #A50_KJG #file #fileleed #verkeer https://t.co/n9gcdYb9GJ,515.534,5.478,7,7,1.00E+01
"8,39E+21",De #julianabrug in #zaandam #zaandijk ging open om 17:23 en zal 4 minuten open zijn. Zie https://t.co/zCqSr3mrjr #brugopen,52.471.471,4.813.427,8,12,1.10E+01
"8,39E+21",A2 13192 Rit 28139 Amsterdam Kometensingel 1033BW 52 De Satellietschool https://t.co/JxgjFastUl #p2000,524.154.236,48.929.543,9,4,0.00E+00
"8,39E+21",💞Mmm het heerlijke Mexicaanse eten proeven bij chiapas_taco_cartel met mijn vader gezellig🌮🌯🍴… https://t.co/9E2nawJbp1,5.235.657,490.004,3,1,3.00E+00
"8,39E+22",Pompiedompiedom….. wortelschieten voor sein 436🤔 https://t.co/mej8RtGzGO,5.239.058.634,486.728.844,4,4,1.00E+01
"8,39E+22",File op A12 Langzaam rijdend tot stilstaand verkeer #A12 #A12_NIE #file #fileleed #verkeer https://t.co/SfJbXCcgRP,5.206.741,4.8312,5,7,9.00E+00
"8,39E+22",A1 13118 Rit 28140 Amsterdam Molenwijk 1035EG 18 https://t.co/xd1R8FnSeY #p2000,524.173.824,48.928.442,3,4,9.00E+00
"8,39E+22",#healthylife #fitgirl #lifestyle 😂😂😂 (@ McDonald's in Amsterdam Noord-Holland) https://t.co/OWJpj4E7lV,5.233.756.891,492.162.156,6,18,1.00E+00
"8,39E+22",Ops Engineer CGI Nederland B.V. https://t.co/njfngQytZd #jobs #finland,53.199.273,6.523.948,7,15,6.00E+00
"8,39E+22",#ICDirect 1056 (V 17:38 van Amsterdam Airport) naar Rotterdam Centraal is 6 minuten vertraagd.,5.230.944.443,476.194.429,8,0,1.30E+01
"8,39E+22",@MargreetM hartstikke leuk! 😃,5.239.489.646,484.333.955,9,1,2.00E+00
"8,39E+22",File op A15 Stilstaand verkeer #A15 #A15_ALB #file #fileleed #verkeer https://t.co/SPTtKAycVv,5.184.781,468.412,11,18,1.10E+01
"8,39E+22",Sprankelend &amp; Fris ... net van de pers #vtwonen 3 #wooninspiratie #interieur #styling… https://t.co/AKf0ycjzKf,5.229.289.557,4.704.269,3,1,3.00E+00
"8,39E+22",#ICDirect 956 (V 17:53 van Amsterdam Airport) naar Breda is 10 minuten vertraagd.,5.230.944.443,476.194.429,4,11,1.50E+01
"8,39E+22",File op S107 Stilstaand verkeer #S107 #S107_N21 #file #fileleed #verkeer https://t.co/yNWmUJ4bGt,519.203,453.456,5,0,1.30E+01
"8,39E+22",File op N408 Stilstaand verkeer #N408 #N408_A12 #file #fileleed #verkeer https://t.co/lEMLP22nAL,5.204.731,511.795,6,1,2.00E+00
"8,39E+22",Lang geleden.... aanschuif workshop Indiaas Vegetarisch koken! Heb er weer zin in‼️🥒🥕🌶🍆🍅‼️ @… https://t.co/3FHGlhDadR,523.551.063,48.895.598,9,11,9.00E+00
"8,39E+22",File op A50 Stilstaand verkeer #A50 #A50_BEE #file #fileleed #verkeer https://t.co/m95X8JFyh7,521.966,601.901,10,14,9.00E+00
"8,39E+22",File op A1 Langzaam rijdend tot stilstaand verkeer #A1 #A1_TBJ #file #fileleed #verkeer https://t.co/xuN00IycXG,5.227.798,518.514,12,11,7.00E+00
"8,39E+22",File op A10 Stilstaand verkeer #A10 #A10_BGH #file #fileleed #verkeer https://t.co/4AAJC6lGXe,5.234.041,495.198,3,1,3.00E+00
"8,39E+22",File op A2 Stilstaand verkeer #A2 #A2_BRE #file #fileleed #verkeer https://t.co/MMK2QlZAuV,5.213.868,500.573,4,11,1.50E+01
"8,39E+22",File op A27 Stilstaand verkeer #A27 #A27_ULV #file #fileleed #verkeer https://t.co/B0IuamPqAY,5.154.384,481.392,7,0,1.30E+01
"8,39E+22",File op A58 Langzaam rijdend tot stilstaand verkeer #A58 #A58_GHL #file #fileleed #verkeer https://t.co/TxhAmg3qNB,5.153.677,507.637,9,4,0.00E+00
"8,39E+22",File op N256 Stilstaand verkeer #N256 #N256_WOL #file #fileleed #verkeer https://t.co/gp8uVQEdtw,5.156.764,385.303,10,11,1.00E+01
"8,39E+22",P 1 Brandmelding OMS NDSM-WERF KINETISCH NOORD tt. Neveritaweg 15 Amsterdam [ 13GG04 13DRM ] https://t.co/qykN0fgdNN #p2000,524.007.782,48.939.248,11,11,1.00E+01
"8,39E+22",HILVERSUM: vermist omgeving Loosdrechtseweg/Diependaalselaan 81 jarige dame bruine broek groen shirt lbruin vest https://t.co/GKb0cBICRu,5.221.430.778,515.094.915,12,1,2.00E+00
"8,39E+22",Hilversum - vermist omgeving Loosdrechtseweg/Diependaalselaan 81 jarige dame bruine broek groen shirt lbruin vest ...https://t.co/WJ2XS0E6oz,5.221.430.778,515.094.915,4,16,1.00E+00
"8,39E+22",De teddybeertjes van Cognitio 😂 @ Cognitio Nederland B.V. https://t.co/JgWPXZPDWK,520.488.799,4.282,5,0,1.30E+01
"8,39E+22",Zondag 26 Maart een heerlijke Brunch bij de Harbour Kitchen.. We bouwen een feestje en raken de… https://t.co/lkuoCyfR49,5.234.795.574,48.849.317,6,1,2.00E+00
"8,39E+22",File op A50 Stilstaand verkeer #A50 #A50_PAA #file #fileleed #verkeer https://t.co/fnZDJYm8vl,5.174.155,558.656,7,11,1.10E+01
"8,39E+22",File op N214 Stilstaand verkeer #N214 #N214_LJH #file #fileleed #verkeer https://t.co/M55mBlC8nQ,5.189.924,492.543,8,0,1.30E+01
"8,39E+22",#AMSTERDAM Opschaling | P 2 Brand Industrie (Grip: 0) (BrOn : Contact Ploegleider) (Zeer Grote Brand) (13GG02) | https://t.co/FbZcfpxE2u,523.854.667,49.238.407,13,2,2.00E+00
"8,39E+22",Bijna thuis (@ Rechtbank Midden-Nederland locatie Lelystad) https://t.co/MVvvD4njIs,5.250.791.654,547.214.735,4,11,1.50E+01
"8,39E+21",File op A12 Langzaam rijdend tot stilstaand verkeer #A12 #A12_DRI #file #fileleed #verkeer https://t.co/VXAujKwf7l,5.205.979,5.2166,6,2,3.00E+00
"8,39E+21",#ICDirect 960 (V 18:37 van Amsterdam) naar Breda rijdt vandaag niet. #fail Geld terug? Zie https://t.co/wQfqoWMoGC,5.237.888.718,490.027.761,5,0,1.30E+01
"8,39E+22",A1 13163 Rit 28153 Amsterdam Elandsgracht 1016TT 117 Celle complex Hoofdbureau https://t.co/wS4UrUu6jm #p2000,523.688.969,48.786.868,6,11,5.00E+00
"8,39E+22",File op E35 Stilstaand verkeer #E35 #E35_CEN #file #fileleed #verkeer https://t.co/5xjWWnPIIS,5.207.179,507.205,8,0,1.30E+01
"8,39E+22",File op A27 Stilstaand verkeer #A27 #A27_GAL #file #fileleed #verkeer https://t.co/9F9snEnNRv,5.152.616,475.295,9,12,9.00E+00
"8,39E+22",.@D66: leuk dat jullie actief zijn maar rennende mensen willen hun trein halen en willen geen folder of praatje. ;) https://t.co/ZfNySlVNoz,516.905.626,529.688.914,10,11,1.00E+01
"8,39E+22",Amsterdam zoo 🦁 @ Artis Zoo Amsterdam https://t.co/1JjSImCQiI,5.236.008.441,48.820.582,5,4,7.00E+00
"8,39E+22",🌿#amsterdam @ Amsterdam Vondelpark https://t.co/Qv74shK8Sm,523.592,4.8735,6,4,1.20E+01
"8,39E+22",NL | Syrische kinderen plegen zelfmoord om aan gruwel te ontsnappen - Ongeveer vijf à zes maanden geleden pleegde… https://t.co/8xZUwPm2Gy,5.239.398.971,488.725.586,7,19,1.50E+01
"8,39E+22",NL | Ouderen leven langer zijn gezonder en rijker - De cijfers vanochtend bekend gemaakt door het Centraal… https://t.co/6glB0p1OPr,5.239.398.971,488.725.586,8,11,9.00E+00
"8,39E+22",Modelingzzz @ MAS | Museum aan de Stroom https://t.co/ZYnt0vBupf,512.286.951,440.487.499,9,0,1.30E+01
"8,39E+22",File op A12 Stilstaand verkeer #A12 #A12_KIT #file #fileleed #verkeer https://t.co/mjCB6cF2aZ,5.206.035,520.732,10,13,9.00E+00
"8,39E+22",File op A2 Stilstaand verkeer #A2 #A2_RMD #file #fileleed #verkeer https://t.co/lxjor6ezbC,5.190.768,518.279,4,4,1.00E+01
"8,39E+22",amsterdam &lt;3 https://t.co/NgRnRmljO1,5.237.323,488.788.667,5,13,1.50E+01
"8,39E+22",A1 13342 Rit 28157 Amsterdam Marnixstraat th Rozengracht https://t.co/rq3ivsV55d #p2000,523.833.691,48.822.486,6,12,5.00E+00
"8,39E+22",Hierdie was die dag wat ek van my ma se onskuldige bloedjie verander het in 'n jong dame wat 'n… https://t.co/DVGdwEASIP,523.731,4.8922,7,11,1.10E+01
"8,39E+22",B1 13116 Rit 28159 Amsterdam Oosterpark 1091AC 9 OLVGO B3 lounge https://t.co/TOZbVqRhF8 #p2000,523.591.188,4.916.442,4,11,1.50E+01
"8,39E+22",EVERY WEDNESDAY | JOHN DOE | AMSTERDAMKom elke week genieten van de meest heerlijke tunes… https://t.co/97hF81IaXJ,5.236.648,4.8976,7,11,1.10E+01
"8,39E+22",I'm at Verheul &amp; Weerman Fysiotherapeuten - @vwfysiotherapie in Nieuw-Vennep Noord-Holland https://t.co/PzmGSBsUNe,5.226.812,46.364.599,5,11,6.00E+00
"8,39E+22",Met 5 jaar ervaring en fulltime zo'n 3000 bruto. Wat zijn ze zie-lig https://t.co/awVuL6yv6i,519.837.827,59.636.942,6,11,5.00E+00
"8,39E+22",Omelet boordevol groente. Super snel klaar lekker en gezond!#omelet #boerenomelet #omeletmet… https://t.co/vgegAgR4Mg,524.902,474.683,10,15,1.10E+01
"8,39E+21",De #julianabrug in #zaandam #zaandijk ging open om 18:43 en zal 4 minuten open zijn. Zie https://t.co/zCqSr3mrjr #brugopen,52.471.471,4.813.427,4,11,1.50E+01
"8,39E+22",De #julianabrug in #zaandam #zaandijk is weer dicht. Zie https://t.co/zCqSr3mrjr #brugopen,52.471.471,4.813.427,9,12,9.00E+00
"8,39E+22",Liefde is...... door je man opgehaald worden van werk en door hem… https://t.co/q6rF7DgEcw,5.207.584.166,431.765,10,18,5.00E+00
"8,39E+22",#ICDirect 962 (V 19:23 van Amsterdam Airport) naar Breda is 5 minuten vertraagd.,5.230.944.443,476.194.429,2,19,1.40E+01
"8,39E+22",P 2 aflossen Brand Industrie (13GG02) Schaafstraat 23 Amsterdam [ 13ASLN ] https://t.co/REjN2F0SvS #p2000,523.854.996,49.236.307,6,7,9.00E+00
"8,39E+22",P 3 dpu ophalen Brand Industrie (13GG02) Schaafstraat 23 Amsterdam [ ] https://t.co/3W0fzOOKgI #p2000,523.854.996,49.236.307,10,2,3.00E+00
"8,39E+22",#ICDirect 962 (V 19:07 van Amsterdam) naar Breda is 5 minuten vertraagd.,5.237.888.718,490.027.761,3,11,1.00E+00
"8,39E+22",Lange rij zeg (at @DeHallenAdam in Amsterdam Noord-Holland) https://t.co/3elHo5wFDe,5.236.684.829,486.849.238,2,19,1.40E+01
"8,39E+22",De beste schoenmaker van Nederland! shannas_zandvoort @shanna98zv @ Shanna's https://t.co/RqTdm1qo9N,5.237.152.277,453.148.972,9,7,7.00E+00
"8,39E+22",@MachinistASD @raymondvk Lol! Blij als straks de functie printen in de app “Mijn Dienst” komt. Gaat ie helemaal niet meer mee,522.590.765,46.459.518,10,2,3.00E+00
"8,39E+22",En ook bij Maurice de Hond weer een extra zetel voor GroenLinks. We staan nu op 18.,5.245.352.653,496.655.616,11,12,1.00E+01
"8,39E+21",I'm at Burger Bar in Amsterdam Noord-Holland https://t.co/eQkxBxWzOc,5.237.613.426,489.541.893,2,7,1.00E+00
"8,39E+21",I'm at Koninklijk Theater Carré - @theatercarre in Amsterdam Noord-Holland https://t.co/JsRRkJ5PpM,5.236.238.902,490.393.976,3,7,6.00E+00
"8,39E+22",The Royal Dutch #foodporn #amsterdam @ Ter Marsch &amp; Co - Amsterdam https://t.co/YhHz4A8ki1,523.662.465,48.928.973,6,13,6.00E+00
"8,39E+22",I'm at De Landbouw in Wassenaar Zuid-Holland https://t.co/TwffWghMGp,5.210.251,4.364.302,7,2,3.00E+00
"8,39E+22",Miss AC @ Amsterdam Netherlands https://t.co/HSLgKVcoQF,523.731,4.8922,8,7,7.00E+00
"8,39E+22",Station Amsterdam Centraal is het centraal station van de Nederlandse hoofdstad Amsterdam. Het… https://t.co/MJAe8iXlt6,5.237.807,490.118,9,2,3.00E+00
"8,39E+22",A2 13119 Rit 28180 Amsterdam Statenjachtstraat 1034CS 1 BIJ seh https://t.co/amxPb2xYSH #p2000,524.057.126,4.918.917,10,11,1.00E+01
"8,39E+22",P 1 Meting Braak en Bosch 17 2 Amsterdam [ 13GG06 13ASO ] https://t.co/iRRugsj83F #p2000,52.360.696,48.001.225,3,4,9.00E+00
"8,39E+22",I ❤️Amsterdam#amsterdam #chefslife #holland #chefsmeeting @ Solo eten &amp; drinken https://t.co/qkWtFHNVEV,523.560.219,488.028,4,16,1.00E+00
"8,39E+22",A1 13151 Rit 28182 Amsterdam Havenstraat 1075PR 6 https://t.co/iAQi1ANe6l #p2000,523.495.874,48.558.528,6,16,1.50E+01
"8,39E+22",A1 13151 Rit 28185 Amsterdam Oranje Nassaulaan 1075AN 16 https://t.co/IS86eu4omV #p2000,523.545.877,48.620.586,8,19,6.00E+00
"8,39E+22",De Foodhallen Amsterdam 🍔 🌮 🥗 🇳🇱 | foodhallen @ De Foodhallen https://t.co/Ix0nwoWsSk,5.236.747,486.788,9,11,9.00E+00
"8,39E+22",Volgende week na de Nederlandse verkiezingen #pauw https://t.co/RyCzVABl3w,5.118.918.919,4.197.251,10,12,9.00E+00
"8,39E+22",Was een leuke livestream met mariannethieme ! Stel morgen je vraag aan Gert Jan Segers op de… https://t.co/Gz09GqFPAP,5.224.395.364,51.674.388,11,0,1.30E+01
"8,39E+21",Al jaren leef ik vanuit de overtuiging dat alles wat je het universum instuurt bij je terugkomt… https://t.co/LavHVL5CfQ,5.235.602.102,489.319.584,3,16,4.00E+00
"8,39E+21",Het werk zit er weer op voor vandaag. Geniet van je avond! #pakkenfabriek #pakken #suits… https://t.co/I8u4xH94t6,5.158.025,477.735,4,7,5.00E+00
"8,39E+22",A1 13180 Rit 28187 Amsterdam Louwesweg 1066EC 10 Hof van Sloten https://t.co/3YvAndYfIE #p2000,523.471.776,48.240.178,5,16,1.00E+00
"8,39E+22",#ZAANDAM #ZAW | Prio 2 Ongeval Wegvervoer Materieel th Syltpier __ Zaandam | https://t.co/rXLg5GmIwn,52.434.347,482.694,6,13,6.00E+00
"8,39E+22",Zwartewaterland - Het vermiste 14 jr.meisje in Zwartsluis is zojuist in goede gezondheid dankzij Burgernet aangetr...https://t.co/nL0tGNWweY,5.264.163.569,607.706.079,9,15,1.10E+01
